,y
2392,230000
2393,355000
2394,348000
2395,729000
2396,320000
2397,195000
2398,229000
2399,419000
2400,645000
2401,145000
2402,300000
2403,540000
2404,195000
2405,170000
2406,159000
2407,315000
2408,465000
2409,268000
2410,385000
2411,285000
2412,435000
2413,780000
2414,220000
2415,250000
2416,1266000
2417,380000
2418,249000
2419,850000
2420,215000
2421,249000
2422,430000
2423,510000
2424,450000
2425,580000
2426,550000
2427,412000
2428,249000
2429,310000
2430,350000
2431,100000
2432,315000
2433,530000
2434,135000
2435,420000
2436,560000
2437,339000
2438,280000
2439,2490000
2440,430000
2441,870000
2442,850000
2443,345000
2444,330000
2445,265000
2446,475000
2447,1145000
2448,1250000
2449,450000
2450,238000
